-9439544818968559616,3,63
-9223373138513887232,3,62
-9223372328912814080,4,36
-9223653511835942912,4,36
9259400833874526208,4,36
-9223656123171602432,5,63
9242512644508745728,5,63
-9295508804319838208,5,63
-9369739046219153408,5,63
9583662210362638336,5,63
-11529516312254480384,5,63
-10394307976478326784,5,62
10664594288504995840,5,62
9245890070425108480,5,60
9223937194958258176,5,58
9228157180312551424,5,54
-9232379377910546432,5,52
9248141834872422400,5,52
-9223407222602596352,5,50
9241404027650965504,5,50
-14411518807686250496,5,50
-9223381933013073920,5,48
-9225905311796166656,5,48
-9224498074276069376,5,46
-9259418427141914624,5,46
-9295570368657883136,5,46
-9367491623253966848,5,46
11529223844317364224,5,46
-9223372108262801408,5,44
-9232942254786609152,5,44
9241456806260113408,5,44
9520609616560390144,5,44
10376297973872066560,5,44
-9223372041453830144,5,42
9223380835231596544,5,42
-9241387672316936192,5,42
9224497936781541376,5,40
9224568307654328320,5,40
-9367487224982011904,5,40
9799903162198392832,5,40
13853074652815949824,5,40
9223389633353089024,5,38
-9241390842001227776,5,38
9241390850591162368,5,38
-9223389768627519488,5,36
-9223935089887674368,5,36
-9223935536565321728,5,36
9511743151568846848,5,36
-9547631212173197312,5,36
11529289812859420672,5,36
9223512776524300288,5,34
9241685502527143936,5,34
-9259682308867358720,5,34
9295429631983353856,5,34
-11529215046404145152,5,34
-9223372037026807808,5,32
-9223934987412242432,5,32
9259400902593544192,5,32
10394307942118653952,5,32
10666775717427085312,5,32
-9223460311317610496,6,63
9223814074888880128,6,63
9223833840328376320,6,63
9224076295527202816,6,63
9225624480913555456,6,63
9225624738611593216,6,63
9225914185047605248,6,63
-9225940642046148608,6,63
-9232454024375042048,6,63
-9237165685103132672,6,63
9252654247705575424,6,63
9263944565675524096,6,63
-9268549079854481408,6,63
-9295781513268297728,6,63
9296027778103115776,6,63
-9297699044367269888,6,63
-9367490076788916224,6,63
-9367496338851233792,6,63
-9367498503514750976,6,63
9368639521706475520,6,63
9385510445302939648,6,63
9513854788345790464,6,63
9520689326854242304,6,63
9525254086815907840,6,63
-9531868697229000704,6,63
