-18889468192074487562240,3,-(2^74 + 2^51 + 2^43),86
-20070057578584271224832,4,-(2^74 + 2^70 + 2^44 + 2^43),86
18890619134475344281600,4,2^74 + 2^60 + 2^48 + 2^34,68
18898689866465397440512,4,2^74 + 2^63 + 2^49 + 2^23,46
-18889754443329709801472,4,-(2^74 + 2^58 + 2^48 + 2^19),38
-21840945088825225379840,5,-(2^74 + 2^71 + 2^69 + 2^46 + 2^45),90
19507431875540036878336,5,2^74 + 2^69 + 2^64 + 2^63 + 2^44,88
18890061533079056416768,5,2^74 + 2^59 + 2^54 + 2^50 + 2^39,78
-19480338205063491092480,5,-(2^74 + 2^69 + 2^59 + 2^41 + 2^38),76
20146150371637483012096,5,2^74 + 2^70 + 2^66 + 2^61 + 2^37,74
-21435116613719218454528,5,-(2^74 + 2^71 + 2^67 + 2^65 + 2^36),72
18890042445076161888256,5,2^74 + 2^59 + 2^45 + 2^44 + 2^36,72
18889538033121803370496,5,2^74 + 2^56 + 2^45 + 2^43 + 2^36,72
-18907948704521108062208,5,-(2^74 + 2^64 + 2^55 + 2^37 + 2^35),70
19046335313716329840640,5,2^74 + 2^67 + 2^63 + 2^56 + 2^34,68
19332187791463813218304,5,2^74 + 2^68 + 2^67 + 2^41 + 2^34,68
-18889515471083071864832,5,-(2^74 + 2^55 + 2^53 + 2^52 + 2^33),66
-18889612579950037041152,5,-(2^74 + 2^57 + 2^51 + 2^48 + 2^33),66
-18889475080523425513472,5,-(2^74 + 2^53 + 2^47 + 2^40 + 2^33),66
18889537989287367147520,5,2^74 + 2^56 + 2^37 + 2^36 + 2^33,66
-18891772900527287828480,5,-(2^74 + 2^61 + 2^50 + 2^37 + 2^31),62
18889506463946094149632,5,2^74 + 2^55 + 2^52 + 2^36 + 2^31,62
-21250649735934223843328,5,-(2^74 + 2^71 + 2^49 + 2^36 + 2^31),62
-18889610047235739877376,5,-(2^74 + 2^57 + 2^39 + 2^34 + 2^31),62
18912524361581455212544,5,2^74 + 2^64 + 2^62 + 2^33 + 2^31,62
18889466495048083308544,5,2^74 + 2^49 + 2^39 + 2^36 + 2^30,60
-18891774096656889282560,5,-(2^74 + 2^61 + 2^51 + 2^46 + 2^29),58
18889466011743466553344,5,2^74 + 2^46 + 2^43 + 2^40 + 2^29,58
18889465944690437128192,5,2^74 + 2^43 + 2^42 + 2^34 + 2^29,58
